編號,name,別稱,標高M,三角點,緯度N,經度E,圖名,圖號,山脈,轄區,轄區,區域,備註,latitude,longitude
82,南湖大山東峰,,3632,,294892,2695826,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,宜蘭南澳,,24.3658941,121.450661148
83,南湖大山東北峰,,3505,,294514,2696923,南湖大山,9621-1.SE,中央山脈主脊,台中和平,宜蘭南澳,,,24.375809759,121.44697018
84,南湖大山北峰,,3592,,293995,2696722,四季,9621-1.NE,中央山脈主脊,台中和平,宜蘭南澳,,,24.374009965,121.441847921
85,南湖北山,巴油山,3536,三等6330,293517.154,2697790.284,四季,9621-1.NE,中央山脈主脊,台中和平,宜蘭大同,宜蘭南澳,,24.383668983,121.437170868
86,巴都服山,庚勾巴油山,3345,,293688,2698729,四季,9621-1.NE,中央山脈主脊,宜蘭大同,宜蘭南澳,,,24.392139613,121.43888433
87,拔托諾府山,拔托諾山,3165,,293965,2699660,四季,9621-1.NE,中央山脈主脊,宜蘭大同,宜蘭南澳,,,24.400537496,121.441644386
88,審馬陣山,夜珍加羅穗山,3141,三等6325,291517.645,2697400.864,四季,9621-1.NE,南湖北山分支脈,台中和平,宜蘭大同,,,24.380208558,121.417448239
89,陶賽峰,,3450,,295894,2695030,南湖大山,9621-1.SE,馬比杉支脈,宜蘭南澳,花蓮秀林,,,24.358677474,121.460511388
90,南湖大山東南峰,,3462,,296343,2694711,南湖大山,9621-1.SE,馬比杉支脈,宜蘭南澳,花蓮秀林,,,24.355783775,121.464926197
91,馬比杉山,馬眉三山,3211,三等6336,298446.903,2693892.105,南湖大山,9621-1.SE,馬比杉支脈,宜蘭南澳,花蓮秀林,,,24.348325141,121.485633486
92,南湖大山中南峰,,3586,,294449,2695212,南湖大山,9621-1.SE,中央山脈支脈,花蓮秀林,,,,24.360363309,121.446275247
93,南湖大山南峰,南湖南山,3475,,293267,2693815,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.347783825,121.434582224
94,巴巴山,,3264,三等6339,293597.377,2693220.936,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.342410733,121.4378197
95,巴巴山南峰,,3291,,293083,2692525,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.336141751,121.432729292
96,中央尖山東峰,,3580,,292203,2689446,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.3083662,121.423965051
97,中央尖山,,3705,三等6015,291414.272,2689649.624,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.310226204,121.416200392
98,中央尖山西峰,,3412,,290260,2689488,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.308797651,121.40482353
99,甘藷峰,中央南峰,3158,三等6362,288742.789,2687445.235,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.290392675,121.389819309
100,甘藷南峰,,3157,,287772,2686293,環山,9621-1.SW,中央山脈主脊,台中和平,花蓮秀林,,,24.280013367,121.380225284
101,鬼門關峰,,3395,,288302,2684606,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.264768264,121.38539983
102,無明山,屈社山,3451,二等1450,288230.021,2683561.84,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.255342302,121.384662552
103,無明山東峰,,3187,,289135,2683550,南湖大山,9621-1.SE,中央山脈支脈,花蓮秀林,,,,24.2552126,121.393574534
104,無明山西峰,,3225,,286981,2683448,南湖大山,9621-1.SE,中央山脈支脈,台中和平,花蓮秀林,,,24.254345043,121.372359074
105,鈴鳴山,,3272,三等6373,284880.677,2682338.854,大禹嶺,9621-2.NW,中央山脈主脊,台中和平,花蓮秀林,,,24.2443797,121.351647468
106,人待山,,3110,,283696,2683094,大禹嶺,9621-2.NW,中央山脈支脈,台中和平,,,,24.251224496,121.339999731
107,閂山,,3168,二等1467,280634.379,2683915.649,環山,9621-1.SW,中央山脈支脈,台中和平,,,,24.258707653,121.30986735
108,畢祿山,,3371,三等6368,284433.635,2678926.496,大禹嶺,9621-2.NW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.213579258,121.347161755
109,北畢祿山,,3193,,283988,2680073,大禹嶺,9621-2.NW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.223941123,121.342802218
110,鋸山,,3275,,285288,2678637,大禹嶺,9621-2.NW,羊頭山支脈,花蓮秀林,,,,24.21094596,121.355565652
111,鋸山東峰,,3035,,286854,2678170,大禹嶺,9621-2.NW,羊頭山支脈,花蓮秀林,,,,24.206692598,121.370970244
112,羊頭山,,3035,三等6354,287746.925,2678346.457,大禹嶺,9621-2.NW,羊頭山支脈,花蓮秀林,,,,24.208264187,121.379765241
113,畢祿山南峰,,3041,,284673,2677720,大禹嶺,9621-2.NW,羊頭山支脈,花蓮秀林,南投仁愛,,,24.202680258,121.349488573
114,北合歡山,,3422,二等1451,277780.05,2675358.298,大禹嶺,9621-3.NE,中央山脈主脊,花蓮秀林,南投仁愛,,,24.181496496,121.281586718
115,西合歡山,,3145,三等6390,274015.331,2674920.786,力行,9621-2.NE,西合歡山支脈,南投仁愛,,,,24.177610025,121.244524803
116,石門山,,3237,三等6389,278091.433,2672140.277,大禹嶺,9621-3.NE,中央山脈主脊,花蓮秀林,南投仁愛,,,24.152434532,121.284587099
117,石門山北峰,,3275,,277682,2672668,大禹嶺,9621-3.NE,中央山脈主脊,花蓮秀林,南投仁愛,,,24.157206937,121.280568565
118,合歡尖山,,3217,,278008,2671264,大禹嶺,9621-3.NE,中央山脈主脊,花蓮秀林,南投仁愛,,,24.144523929,121.283748623
119,合歡山,合歡山主峰,3417,三等6388,276729.652,2671051.897,大禹嶺,9621-3.NE,中央山脈主脊,南投仁愛,,,,24.142631658,121.271166033
120,合歡山東峰,,3421,,277734,2670283,大禹嶺,9621-3.NE,合歡山支脈,花蓮秀林,南投仁愛,,,24.135671202,121.281033184
121,奇萊主山北峰,,3607,一等,283176.681,2668375.391,能高山,9621-3.SW,屏風山支脈,花蓮秀林,,,,24.118338979,121.334538821
122,屏風山,,3250,三等6378,284021.668,2671803.656,大禹嶺,9621-3.NE,屏風山支脈,花蓮秀林,,,,24.149275124,121.342934031
123,屏風山南峰,,3183,,283172,2670378,大禹嶺,9621-3.NE,屏風山支脈,花蓮秀林,,,,24.136421118,121.334539795
124,磐石山,苫原山,3106,三等5986,288645.498,2666882.052,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,24.104728019,121.388298183
125,磐石山中峰,,3154,,286848,2666926,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,24.105168738,121.370618152
126,磐石山西峰,,3335,,285458,2667363,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,24.109147064,121.35695622
127,太魯閣大山,,3283,二等1463,291976.085,2664050.768,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,24.079077059,121.420976009
128,太魯閣大山西峰,,3121,,291002,2863921,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,25.883558474,121.417444757
129,立霧主山,,3070,三等5981,294474.272,2669135.025,天祥,9621-2.NE,太魯閣大山支脈,花蓮秀林,升二等測量,,,24.124913983,121.445703326
130,帕托魯山,,3101,三等5985,296607.871,2666320.758,龍澗,9621-2.SE,太魯閣大山支脈,花蓮秀林,,,,24.099440952,121.466601531
131,奇萊池山,詩美塔山,3430,,282029,2666362,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.100183832,121.323202705
132,奇萊主山,,3560,三等5984,282035.771,2664790.863,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.085997438,121.323233713
133,卡羅樓山,,3385,,281470,2664095,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.079725938,121.31765377
134,奇萊裡山,杜瓦拉斯山,3333,,279720,2662208,能高山,9621-2.SW,中央山脈主脊,花蓮秀林,南投仁愛,,,24.062722358,121.300403336
135,奇萊主山南峰,,3358,二等1469,277626.055,2662037.126,能高山,9621-2.SW,奇萊南峰支脈,南投仁愛,,,,24.061218511,121.279809324
136,奇萊主山南南峰,深堀山,3311,,277093,2661141,能高山,9621-2.SW,奇萊南峰支脈,南投仁愛,,,,24.053136549,121.274550405
137,南華山,能高山北峰,3184,三等5942,278252.234,2659615.052,能高山,9621-2.SW,中央山脈主脊,南投仁愛,花蓮秀林,,,24.039337319,121.285918303
138,卡賀爾山,,3105,,276661,2655989,能高山,9621-2.SW,中央山脈主脊,南投仁愛,花蓮秀林,,,24.006624595,121.270205381
139,能高山,能高主山,3262,三等5957,275651.408,2654404.485,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.992334464,121.26025314
140,能高山南峰,,3349,二等1453,277471.472,2651422.181,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.965374463,121.27808308
141,巴沙彎山,奇萊大山,3029,三等6008,281260,2651156,望台山,9620-1.NW,巴沙彎山支脈,花蓮秀林,,,,23.962899037,121.315303394
142,光頭山,知亞干山,3060,三等5956,276853.401,2648388.998,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮秀林,,,23.937997222,121.271952453
143,白石東峰,東白石山,3082,,278196,2644918,望台山,9620-1.NW,中央山脈支脈,花蓮秀林,,,,23.906631849,121.285073299
144,白石,山,3110,三等5955,277148.277,2645016.739,望台山,9620-1.NW,中央山脈主脊,南投仁愛,花蓮萬榮,,,23.90754215,121.274784874
145,安東軍山,安東郡山,3068,一等,276273.117,2641157.719,大安山,9620-1.SW,中央山脈主脊,南投仁愛,花蓮萬榮,,,23.872711958,121.266118041
146,萬東山西峰,火山,3258,三等5966,268068.082,2638836.798,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.851873028,121.185522311
147,牧山,,3241,三等5969,265488.856,2640054.355,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.862895588,121.160214188
148,干卓萬三岔峰,,3241,,264898,2640290,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.865029311,121.154415466
149,干卓萬山,,3284,二等1460,263325.678,2641508.356,奧萬大,9620-4.NE,干卓萬山支脈,南投仁愛,,,,23.876045371,121.138989304
150,干卓萬山東南峰,,3135,,266815,2640959,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,,,,23.871050126,121.173245625
151,卓社大山東峰,,3245,,264102,2638387,北丹大山,9620-4.SE,干卓萬山支脈,南投仁愛,南投信義,,,23.847853464,121.146580576
152,雙子山,,3049,三等5976,264553,2637552,北丹大山,9620-4.SE,干卓萬山支脈,南投信義,基點2997M,,,23.840309392,121.150999418
153,卓社大山,,3369,二等1455,260970.104,2636913.081,卓社134,9620-4.SW,干卓萬山支脈,南投仁愛,南投信義,,,23.834570586,121.11582214
154,六順山,,2999,森林,273595,2624740,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.724508083,121.239549468
155,關門山北峰,,3028,森林,273578,2621446,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.694764166,121.239328465
156,大石公山,,3030,,272015,2614645,丹大,9620-3.NE,中央山脈主脊,花蓮萬榮,南投信義,,,23.633374973,121.223897527
157,丹大山,,3340,森林,270964,2610994,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮萬榮,花蓮卓溪,,23.600421232,121.213543089
158,丹大山東峰,,3145,,271984,2611201,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.602276364,121.223540925
159,大理石峰,,3014,,274153,2611414,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.604167685,121.244798137
160,阿巴拉山,阿拔子山,3044,,274186,2612148,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.610795136,121.245133826
161,阿屘那來山,,3061,,274192,2610418,豐坪溪,9620-3.SE,丹大山支脈,花蓮萬榮,花蓮卓溪,,,23.595173274,121.245163576
162,廬利拉駱山,,3175,,269627,2610543,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.596366185,121.200436035
163,廬利拉駱山西峰,,3123,,268524,2610378,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.594889813,121.189626249
164,馬路巴拉讓山西峰,,3205,,267412,2609012,豐坪溪,9620-3.SE,內嶺爾山支脈,南投信義,花蓮卓溪,,,23.582567781,121.178713828
165,馬路巴拉讓山,,3255,,267826,2608876,豐坪溪,9620-3.SE,內嶺爾山支脈,花蓮卓溪,,,,23.581334985,121.182768247
166,內嶺爾山,,3275,,269218,2608668,豐坪溪,9620-3.SE,內嶺爾山支脈,花蓮卓溪,,,,23.579440109,121.196403285
167,義西請馬至山,,3245,,264814,2609440,豐坪溪,9620-3.SE,中央山脈主脊,南投信義,花蓮卓溪,,,23.586459812,121.153264672
168,斷稜東山,,3295,,264182,2610354,豐坪溪,9620-3.SE,東郡大山支脈,南投信義,,,,23.59471921,121.147081729
169,斷稜西山,,3313,,263594,2610553,豐坪溪,9620-3.SE,東郡大山支脈,南投信義,,,,23.596521527,121.141322248
170,紅崖山,,3215,森林,263661,2612782,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.616648743,121.142000422
171,紅崖山北峰,,3125,,263652,2613698,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.624920266,121.141921132
172,九華山,,3139,,264333,2614767,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.63456703,121.148606203
173,九華山西峰,,3155,,263489,2614851,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.635333249,121.140334736
174,裡門山,,3335,森林,263285,2610409,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.595223934,121.138293164
175,望崖山,,3307,,262286,2611050,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.601020565,121.128510249
176,天南可蘭山,橫郡山,3404,,262437,2611856,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.608297499,121.129997042
177,可樂可樂安山,尖郡山,3525,,261120,2613668,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.62467008,121.117105866
178,郡東山,,3477,,259988,2614094,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.628524821,121.10601474
179,郡北山,,3454,,260023,2615716,櫧山,9620-3.SW,東郡大山支脈,南投信義,,,,23.643171171,121.106369602
180,東郡大山,卡伊西山,3619,森一等,258566.571,2613894.788,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.626734837,121.092082282
181,烏達佩山,宇達佩山,3512,,258141,2615646,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.642550631,121.087921943
182,東巒大山,,3468,,257492,2616323,東郡大山,9620-3.NW,東郡大山支脈,南投信義,,,,23.648667382,121.081564307
